patient,meanFAK,meanTAZ,meanMES,mesFrac
102,-0.1911013382378982,-0.08938593464791414,-0.3102547799551733,0.014443500424808835
105,-0.0035104166446520237,0.2703972244248729,1.9268746014147693,0.6249307479224376
105A,0.07946143824715594,0.6823013430051472,2.831955546542285,0.6657754010695187
114,0.08238299693280494,0.21773772318243403,1.022966372590316,0.14035087719298245
115,0.15735168035533026,0.511504140098588,0.9171232547873762,0.22823984526112184
118,-0.01980806251272771,0.1265332544213836,0.49611230588825583,0.04265402843601896
124,-0.23516611841469215,0.06433459360977145,0.2835462832344903,0.16
125,-0.07536586687439367,0.14408668140263922,-0.38969246433701427,0.0013157894736842105
126,-0.07541710057670688,0.03063711117625189,0.6007157176865472,0.4
143,0.5467921023717806,-0.13882014462041237,1.4939397389930615,0.4245385450597177
