patient,state,FAK,TAZ,MES,AC,OPC,NPC,n_cells
BT1160,AC,-0.19799679733536854,-0.3584255384157102,-0.021184935027322955,1.545047540114906,0.5475672133465608,0.6261388515035314,3
BT1160,MES,-0.17888862337503164,0.08778900343717799,1.2034805696762976,-0.353559628404288,-0.40183729928731915,1.1515154656767843,1
BT1160,NPC,-0.25376288021353305,-0.15453534850589584,-0.6712653294039465,-0.7820621167094239,-0.01193758597221728,2.2414769582369245,289
BT1160,OPC,-0.26290778617709737,-0.16394089938786982,-0.5164359017446571,-0.7076002785266153,1.4841323898536238,0.9707834836999801,22
BT749,MES,0.7484404666694227,0.3022268625528172,1.3943621874291223,-0.5406994550472682,-0.0625462601631881,0.6262861355543136,3
BT749,NPC,0.06736231680350808,-0.16287010076158265,-0.5359372990844177,-0.8099505993655695,0.9550285527519373,1.900109340813011,110
BT749,OPC,0.1311331337274736,-0.13264488044942566,-0.5134173870692966,-0.6254378065165485,2.2235415660396187,1.3990252195960065,122
BT771,AC,0.34954043012354485,0.6775782679815571,0.6185932545692537,2.078017839706399,-0.15390548988248942,0.5838811836245488,53
BT771,MES,0.41791434308068703,0.48463314306902994,1.985593774045501,0.14962762597272125,-1.311767536301126,-0.2132373048705148,94
BT771,NPC,-0.17492783257356576,0.06439330617597687,-0.1520617270990701,-0.09722326252678803,-0.5669747608957114,2.060251815556985,64
BT771,OPC,0.057161620224360346,0.21666321768024419,-0.19634696887053704,0.3046194337979782,1.9730094957677646,1.0720856269076466,16
BT786,MES,0.1444804879625639,0.16736376382203566,0.9490210041819591,-0.045194621324898335,0.4017602364122868,-0.11160477631986146,5
BT786,NPC,-0.07355506330900156,-0.1982249132928951,-0.025340360251462486,-0.8148774700087319,0.4785217139950794,1.0051485448902155,41
BT786,OPC,0.003035857076097217,-0.0758543757501565,0.0010143722771895132,-0.5124974213771325,1.4977109274981921,0.5705743762753733,153
MGH100,AC,0.21394880643056957,0.1807863567053099,0.9444716175673155,2.445320050810355,-0.1147425014934606,-0.9198937234357,45
MGH100,MES,0.24802640096216305,0.27234439379576,1.759253974693482,0.2651785898139214,-1.278426874804424,-0.9141939419666079,41
MGH100,NPC,-0.23482187064788565,-0.2461892814315896,-0.4991963349460855,-0.5741656423767414,0.8089989724395479,2.0545925397180564,41
MGH100,OPC,-0.09959324014580084,-0.09613624179494326,-0.3296507690539646,0.11726732178126155,1.7454610626983145,0.7079908841798702,36
MGH101,AC,0.22353937612895083,0.3631135109822054,1.6235227846512303,3.7155403981020703,0.13289418355184404,-0.07028159589939145,115
MGH101,MES,0.17187248218923595,0.4524653805749905,2.821009014688415,1.2799295574573644,-0.603299148454424,-0.3338526041210629,20
MGH101,NPC,0.11727858385381604,0.8503908124441901,0.07447722578852117,0.6188922221132789,0.15500656868517398,1.0878614888638258,2
MGH101,OPC,-0.023262288713206847,0.028914401385312316,-0.10236985462067993,1.1620046939431543,1.7353923770859838,-0.06157581155002112,2
MGH102,AC,0.18113594776350592,0.27661220637460554,0.4065268149150091,2.8195152073751495,-0.5188169000685214,0.8582024033784865,5
MGH102,NPC,-0.16825717640745197,-0.23240509265857012,-0.7127282312583001,-0.39287280929848756,-0.7551049178063094,3.0173816549381876,173
MGH102,OPC,0.02401154303154541,-0.15125071829639467,-0.7556387893418192,-0.4479967430161288,2.1875540158365454,1.523012327734913,14
MGH104,AC,0.2565632820914551,0.16391357971925022,1.25335428360365,2.468378897169192,-0.36908485977784933,-0.37487629142290224,92
MGH104,MES,0.14086698873977485,0.2921730656110406,1.945246225403876,0.7620888350322005,-1.1196018517172586,-0.6139469264193128,24
MGH104,NPC,-0.28625186642011013,-0.21318471418486706,0.1407270864276502,-0.7571928917882911,-0.697667072415352,0.8468656976222992,1
MGH104,OPC,-0.2530630419237745,0.025148910284042314,0.5860975247002691,0.9919148863498946,1.3914396802186966,0.26159501980245126,1
MGH104negP2,AC,0.24148082149553157,0.13216152188288727,1.2940920671643363,2.4090185223813387,-0.2219957225756763,-0.3348436957424463,43
MGH104negP2,MES,0.46079835136355174,0.3972786523806251,2.0451616048890595,1.2626817142900302,-1.0503980222527276,-0.7130660305456682,11
MGH104negP4,AC,0.11596115205077231,0.15331204367964157,1.251908336836824,2.523836491838793,-0.16387012709229298,-0.3584228528039531,42
MGH104negP4,MES,0.49065592908229316,0.1699711506168306,2.0711790813448947,1.336613990650344,-1.2440380766387098,-0.6544919513966888,16
MGH104negP4,NPC,-0.9178205617765586,-0.5201217127011881,-0.17484964226601563,-0.8533316683098973,0.5890778480768204,1.035229595839977,1
MGH104negP7,AC,0.3524539458750329,0.16947639709734472,1.131753176348758,2.6448406155242794,-0.07385499518316077,-0.32702073913375324,46
MGH104negP7,MES,0.4275521974453057,0.11611696567623786,2.0073170291100344,0.7979287915672785,-1.2110870439138484,-0.5172870525318909,17
MGH104negP7,OPC,0.754631790816784,0.26881264648503733,-0.2823741718838991,0.10188939389454799,2.5200374026298524,0.825562414288521,1
MGH105A,AC,0.1804200075575899,0.18779245458324167,1.2506967517031964,2.7699245595449558,0.3955668929672855,-0.6034033802778405,34
MGH105A,MES,0.31957011556364706,0.8986500705599046,2.639301245752833,0.7435615788864207,-0.7929904452580455,-0.7090219386916708,37
MGH105A,NPC,-0.6585228211008426,0.036294520272769804,0.08550845638490909,-0.06825081367629124,0.91336961748451,2.4208058418482543,4
MGH105A,OPC,-0.3220447552121348,0.07427467368750111,0.2278461764744722,0.9245809002214648,2.4062978750914334,0.33635507735610015,4
MGH105B,AC,0.5680701469443739,0.18765510105838384,1.7345100294924822,2.3824146709079486,0.3559236515015364,-0.22803516776859767,2
MGH105B,MES,0.2619525715311798,0.6290730939857443,3.3464031534293315,0.38572639074282966,-1.125783108967163,-0.918540557818171,53
MGH105C,AC,0.13117690672563972,0.4574425323398499,1.2619987012885923,3.12636099713128,0.22301571985791033,-0.3296805400771071,53
