DATASET,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,LN_IC50,AUC,Z_SCORE,status,lineage
GDSC1,906864,FTC-133,SIDM00213,THCA,158,PF-562271,3.195162,0.980047,1.222335,intact,Thyroid
GDSC1,906865,G-361,SIDM00857,SKCM,158,PF-562271,1.107723,0.898123,-0.731078,intact,Skin
GDSC1,906868,GAMG,SIDM01055,LGG,158,PF-562271,1.758858,0.932875,-0.121749,null,CNS/Brain
GDSC1,906869,GCIY,SIDM00274,STAD,158,PF-562271,0.734733,0.8409,-1.08012,intact,Esophagus/Stomach
GDSC1,906870,GDM-1,SIDM01057,LAML,158,PF-562271,1.739655,0.918909,-0.139719,intact,Myeloid
GDSC1,906871,GI-1,SIDM00273,LGG,158,PF-562271,1.233535,0.913723,-0.613344,intact,CNS/Brain
GDSC1,906872,GI-ME-N,SIDM00227,NB,158,PF-562271,1.227666,0.864635,-0.618836,intact,Peripheral Nervous System
GDSC1,906875,GOTO,SIDM00544,NB,158,PF-562271,1.945244,0.922884,0.05267,intact,Peripheral Nervous System
GDSC1,906877,GR-ST,SIDM01259,ALL,158,PF-562271,2.493957,0.933561,0.566151,intact,Lymphoid
GDSC1,906999,GCT,SIDM00853,UNCLASSIFIED,158,PF-562271,1.319708,0.912649,-0.532703,intact,Soft Tissue
GDSC1,907000,ESS-1,SIDM01043,UNCLASSIFIED,158,PF-562271,1.398627,0.931781,-0.458851,intact,Uterus
GDSC1,907042,H4,SIDM00852,LGG,158,PF-562271,0.752534,0.869384,-1.063462,null,CNS/Brain
GDSC1,907043,H9,SIDM01251,UNCLASSIFIED,158,PF-562271,1.107769,0.900815,-0.731035,null,Lymphoid
GDSC1,907044,HC-1,SIDM01073,UNCLASSIFIED,158,PF-562271,1.748614,0.938852,-0.131336,intact,Lymphoid
GDSC1,907045,HCC1419,SIDM00882,BRCA,158,PF-562271,4.159968,0.98021,2.125195,intact,Breast
GDSC1,907046,HCC1569,SIDM00878,BRCA,158,PF-562271,2.900648,0.956958,0.946731,intact,Breast
GDSC1,907047,HCC1806,SIDM00875,UNCLASSIFIED,158,PF-562271,1.728227,0.944319,-0.150414,null,Breast
GDSC1,907048,HCC70,SIDM00673,BRCA,158,PF-562271,0.570038,0.831637,-1.23424,intact,Breast
GDSC1,907051,HEC-1,SIDM00596,UCEC,158,PF-562271,1.963394,0.957178,0.069654,intact,Uterus
GDSC1,907053,HEL,SIDM00594,LAML,158,PF-562271,1.755882,0.963585,-0.124534,null,Myeloid
GDSC1,907055,HGC-27,SIDM00290,STAD,158,PF-562271,0.319933,0.841842,-1.468287,intact,Esophagus/Stomach
GDSC1,907056,HH,SIDM00671,UNCLASSIFIED,158,PF-562271,2.358355,0.92721,0.439256,intact,Lymphoid
GDSC1,907057,HLE,SIDM00064,LIHC,158,PF-562271,1.921473,0.936848,0.030425,intact,Liver
GDSC1,907058,HMV-II,SIDM00291,SKCM,158,PF-562271,1.565407,0.892871,-0.30278,intact,Vulva/Vagina
GDSC1,907060,HOS,SIDM00806,UNCLASSIFIED,158,PF-562271,1.296676,0.91627,-0.554256,null,Bone
GDSC1,907061,HSC-3,SIDM00589,HNSC,158,PF-562271,1.027244,0.908242,-0.80639,intact,Head and Neck
GDSC1,907062,HSC-4,SIDM00588,HNSC,158,PF-562271,1.528933,0.885652,-0.336912,intact,Head and Neck
GDSC1,907063,HT,SIDM00661,DLBC,158,PF-562271,2.038922,0.955382,0.140333,intact,Lymphoid
GDSC1,907064,HT-1080,SIDM00828,UNCLASSIFIED,158,PF-562271,1.536332,0.9341,-0.329988,null,Soft Tissue
GDSC1,907065,HT-1197,SIDM00676,BLCA,158,PF-562271,3.645217,0.97159,1.643494,intact,Bladder/Urinary Tract
GDSC1,907066,HT-1376,SIDM00678,BLCA,158,PF-562271,2.39365,0.943416,0.472285,intact,Bladder/Urinary Tract
GDSC1,907067,HT-144,SIDM00695,SKCM,158,PF-562271,1.078913,0.86362,-0.758038,null,Skin
GDSC1,907068,HT-3,SIDM00679,CESC,158,PF-562271,0.959893,0.874345,-0.869416,intact,Cervix
GDSC1,907069,HuCCT1,SIDM00587,UNCLASSIFIED,158,PF-562271,1.339676,0.902511,-0.514018,intact,Biliary Tract
GDSC1,907072,HuO9,SIDM00599,UNCLASSIFIED,158,PF-562271,1.535623,0.909348,-0.330651,intact,Bone
GDSC1,907073,HuTu-80,SIDM00694,UNCLASSIFIED,158,PF-562271,0.070258,0.81068,-1.701932,intact,Bowel
GDSC1,907169,IGR-1,SIDM01060,SKCM,158,PF-562271,1.041742,0.903109,-0.792823,null,Skin
GDSC1,907170,IMR-5,SIDM01206,NB,158,PF-562271,0.879574,0.89072,-0.944579,intact,Peripheral Nervous System
GDSC1,907171,IPC-298,SIDM01059,SKCM,158,PF-562271,1.447462,0.915241,-0.413152,intact,Skin
GDSC1,907172,IST-MEL1,SIDM00225,SKCM,158,PF-562271,1.74226,0.910069,-0.137282,intact,Skin
GDSC1,907173,IST-MES1,SIDM00224,MESO,158,PF-562271,2.450785,0.957906,0.525751,null,Pleura
GDSC1,907175,JAR,SIDM01039,UNCLASSIFIED,158,PF-562271,2.987605,0.982265,1.028105,intact,Uterus
GDSC1,907176,JEG-3,SIDM01218,UNCLASSIFIED,158,PF-562271,2.524621,0.975371,0.594847,intact,Uterus
GDSC1,907268,JiyoyeP-2003,SIDM00808,UNCLASSIFIED,158,PF-562271,1.762858,0.956366,-0.118007,intact,Lymphoid
GDSC1,907269,JVM-2,SIDM01013,CLL,158,PF-562271,3.460133,0.951866,1.470294,intact,Lymphoid
GDSC1,907270,JVM-3,SIDM01012,CLL,158,PF-562271,3.098406,0.973457,1.131792,intact,Lymphoid
GDSC1,907271,KALS-1,SIDM00613,LGG,158,PF-562271,2.729864,0.933268,0.786912,intact,CNS/Brain
GDSC1,907272,KARPAS-45,SIDM01007,ALL,158,PF-562271,1.085373,0.917385,-0.751993,intact,Lymphoid
GDSC1,907273,KARPAS-299,SIDM01010,UNCLASSIFIED,158,PF-562271,2.744376,0.983376,0.800493,intact,Lymphoid
GDSC1,907274,KARPAS-422,SIDM01008,DLBC,158,PF-562271,2.079031,0.934558,0.177867,intact,Lymphoid
GDSC1,907275,KASUMI-1,SIDM01005,LAML,158,PF-562271,0.875679,0.862947,-0.948223,intact,Myeloid
GDSC1,907277,KE-37,SIDM01003,ALL,158,PF-562271,0.788834,0.914959,-1.029492,intact,Lymphoid
GDSC1,907278,KG-1,SIDM00785,LAML,158,PF-562271,2.004294,0.955347,0.107928,intact,Myeloid
GDSC1,907279,KINGS-1,SIDM00612,LGG,158,PF-562271,1.690623,0.890664,-0.185603,null,CNS/Brain
GDSC1,907280,KMOE-2,SIDM01019,LAML,158,PF-562271,1.750712,0.942346,-0.129373,intact,Myeloid
GDSC1,907281,KMS-12-BM,SIDM01020,MM,158,PF-562271,1.241766,0.937506,-0.605641,intact,Lymphoid
GDSC1,907282,KNS-42,SIDM00607,LGG,158,PF-562271,1.833374,0.920438,-0.052017,intact,CNS/Brain
GDSC1,907285,HuP-T3,SIDM00533,PAAD,158,PF-562271,2.222403,0.928932,0.312033,null,Pancreas
GDSC1,907286,HuP-T4,SIDM00531,PAAD,158,PF-562271,1.805417,0.927437,-0.07818,null,Pancreas
GDSC1,907287,HT55,SIDM00541,COREAD,158,PF-562271,3.160659,0.977921,1.190048,intact,Bowel
GDSC1,907289,HT-115,SIDM00534,COREAD,158,PF-562271,2.071306,0.953325,0.170637,intact,Bowel
GDSC1,907290,H-EMC-SS,SIDM00535,UNCLASSIFIED,158,PF-562271,1.840515,0.907859,-0.045335,intact,Bone
GDSC1,907291,GP5d,SIDM00537,COREAD,158,PF-562271,0.444209,0.843248,-1.351991,intact,Bowel
GDSC1,907295,DMS-53,SIDM00523,SCLC,158,PF-562271,3.281012,0.976565,1.302673,intact,Lung
GDSC1,907298,G-402,SIDM00855,UNCLASSIFIED,158,PF-562271,0.683264,0.814629,-1.128284,intact,Kidney
GDSC1,907299,G-401,SIDM00856,UNCLASSIFIED,158,PF-562271,0.887992,0.857653,-0.936701,intact,Kidney
GDSC1,907300,KY821,SIDM00553,LAML,158,PF-562271,2.758112,0.977622,0.813347,null,Myeloid
GDSC1,907311,KU812,SIDM00308,LCML,158,PF-562271,2.099566,0.9574,0.197083,intact,Myeloid
GDSC1,907312,KU-19-19,SIDM01033,BLCA,158,PF-562271,2.433465,0.970798,0.509544,null,Bladder/Urinary Tract
