gene,module,screen,scope,contrast,n_test,n_comp,med_test,med_comp,effect,mw_p,perm_p,ci_lo,ci_hi,null_mode
YAP1,YAP/TAZ-TEAD output,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
TEAD2,YAP/TAZ-TEAD output,RNAi,PAN,B_vs_C,18,445,-0.0783484351895,-0.10860364362,-0.030255208430500002,0.9694817837320192,0.8701425971480571,-0.057142110793799994,0.005314623754649925,either
TEAD1,YAP/TAZ-TEAD output,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
ITGB5,FAK / focal-adhesion,RNAi,CNS,A_vs_C,33,16,-0.149671863875,-0.1316217879985,0.01805007587650001,0.2717190892818018,0.2927341453170937,-0.11440530250099999,0.17912353977499998,either
TEAD2,YAP/TAZ-TEAD output,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
WWTR1,YAP/TAZ-TEAD output,RNAi,CNS,A_vs_C,33,16,-0.195319991536,-0.16239341681250002,0.03292657472349997,0.2860430382770036,0.3837123257534849,-0.16233590265,0.2202937783132255,either
TEAD3,YAP/TAZ-TEAD output,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
BCAR1,FAK / focal-adhesion,RNAi,CNS,A_vs_C,33,16,-0.282682238604,-0.08618915674855,0.19649308185545,0.0007726725804908231,0.001759964800703986,0.11497681272549998,0.3440218405715535,either
TEAD4,YAP/TAZ-TEAD output,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
YAP1,YAP/TAZ-TEAD output,RNAi,CNS,A_vs_C,33,16,-0.113201315464,-0.1013858309686,0.0118154844954,0.5127560426324178,0.5186296274074519,-0.17570415330760003,0.1428063746493,either
PRMT5,CTRL MTAP-synth-leth,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
TEAD1,YAP/TAZ-TEAD output,RNAi,CNS,A_vs_C,33,16,-0.411529740106,0.0012346746138500002,0.41276441471985004,0.00022646535835337748,0.0013399732005359892,0.14357568509499996,0.6180560862659,either
MAT2A,CTRL MTAP-synth-leth,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
TEAD4,YAP/TAZ-TEAD output,RNAi,CNS,A_vs_C,33,16,-0.0663975324431,0.022407217344465002,0.088804749787565,0.03751949249803155,0.04577908441831163,-0.00382149961745,0.1785088813506,either
MTAP,CTRL neutral,RNAi,CNS,B_vs_C,2,16,,,,,,,,either
TEAD2,YAP/TAZ-TEAD output,RNAi,CNS,A_vs_C,33,16,-0.0826970147081,-0.1175404342635,-0.034843419555400004,0.7754338909548366,0.7989640207195856,-0.0890934820682,0.05551937852015001,either
TEAD3,YAP/TAZ-TEAD output,RNAi,CNS,A_vs_C,33,16,-0.136554113879,-0.053338843803650005,0.08321527007534998,0.12262912586477936,0.0628187436251275,-0.05070855677200001,0.1351838348464,either
MAT2A,CTRL MTAP-synth-leth,RNAi,CNS,A_vs_C,33,16,-0.328575288231,-0.1973123573615,0.13126293086950003,0.06108789119696329,0.16741665166696665,-0.09768859454,0.28259059666955,either
MTAP,CTRL neutral,RNAi,CNS,A_vs_C,33,16,-0.123450187172,-0.1044521201603,0.018998067011699996,0.45332685473312756,0.39727205455890885,-0.10093425258229997,0.1004196284306,either
PRMT5,CTRL MTAP-synth-leth,RNAi,CNS,A_vs_C,33,16,-0.574882625678,-0.27214609988250005,0.3027365257954999,4.993385408576135e-05,0.0015799684006319874,0.139664483786,0.560087566746,either
MAT2A,CTRL MTAP-synth-leth,RNAi,PAN,B_vs_C,18,444,-0.261262852437,-0.2526335824005,0.008629270036499992,0.7717561095262071,0.4568908621827563,-0.16877550264020003,0.08309982586866241,either
