patient,state,FAK,TAZ,MES,AC,OPC,NPC,n_cells
102,AC,-0.012474787383116488,0.35867031748055156,0.6797057873980943,3.132589379199715,0.6042664437654406,1.1248548321791705,86
102,MES,0.02533265869601878,0.3492947725676143,1.866687386456658,0.7564982038385728,-0.036853023580476325,0.23554101579329537,17
102,NPC,-0.2128039124205144,-0.1572794410178687,-0.41723322954547415,0.49165672119476456,0.13302974496818826,3.1976261126567525,886
102,OPC,-0.19010549034209961,-0.014049567956064622,-0.455795839978448,0.7682709647848251,2.9566388509163617,1.9095014254604388,188
105,AC,-0.019186271337518226,0.17251628799370688,1.5044745606481724,2.700298188326191,0.2126910759543546,-0.1957324067022458,654
105,MES,0.007360667703751038,0.3340790625102425,2.2048904068856094,1.0292336443671097,0.026097046923834664,-0.26277942612356237,1128
105,NPC,-0.14374558703104653,-0.07211111745526713,0.09395679028828939,-0.0971442699432373,-0.08801333872477213,1.0313022705713908,5
105,OPC,-0.07625476797421774,-0.06884939918143966,0.3608961095191814,1.0055395103030735,2.306334883901808,0.809290986576198,18
105A,AC,0.10685829931296013,0.4223452218600257,2.22544364158658,3.912886279462731,0.5272546411562657,-0.36360169773746803,115
105A,MES,0.08107354906721341,0.8218352723430687,3.1927895643209996,1.545246175260429,0.01686918697044393,-0.5828241034460515,249
105A,NPC,-0.37698519150416054,0.4673172828330789,1.1890825605392454,1.0519750623703004,1.1812961022059123,2.0404597589704725,2
105A,OPC,-0.2504337314102385,0.1299230488664788,0.730323623418808,1.0213202142715454,1.887121420701345,0.5370218246512942,8
114,AC,0.02411768451086455,0.30932437325836654,1.0527021286673581,2.6719101024790013,0.2875154527197493,0.22067411981857699,47
114,MES,0.30753283772203655,-0.21107933093463221,1.134914880990982,0.2721412568092346,-0.3390682597955068,-0.18493918074501886,8
114,OPC,0.5510184756914774,-0.21928033713371523,-0.12361792882283529,1.3937808475494382,3.260353113412857,-0.12724327219857107,2
115,AC,0.17488614556694485,0.4790062270876483,0.8143572300279417,2.9582810480250394,0.7805444607675182,-0.019826292448361156,374
115,MES,0.13645626287226845,0.6973004453339081,1.4715208316455455,0.20321019214694783,-0.4347390597082127,-0.48297776536752945,118
115,NPC,-0.11734352441481602,0.29481354974171686,-0.217940526538425,0.43935026031070284,1.3722364520585095,2.181938541288729,9
115,OPC,0.056103312654627695,0.022783562694559382,-0.13092966879407564,1.0905133275985717,2.680863861416777,1.3425216453108524,16
118,AC,-0.023119528961480125,0.1700962600164468,0.7940463526372059,2.7109521519432604,0.3598382522690464,0.059781475880522864,142
118,MES,-0.05231049414034242,0.8932658848132048,1.7140701279816806,0.6714816059536405,-0.10241358642224913,-0.1935281393851763,9
118,NPC,-0.14221005435343143,-0.06104411362818348,-0.2525121619966295,0.14851358318328856,1.7791740261846118,2.543283511267768,12
118,OPC,0.026683062955185216,-0.09920866331675289,-0.42648689041535065,0.4982299101352692,2.8417456296251875,1.5618225916447461,48
124,AC,0.03559700536374692,0.9718676731898366,1.6057613421969945,3.593132689291636,0.15066312622494168,0.005235922054008213,150
124,MES,0.08217860049513914,1.0501756254226902,2.6643785711886387,1.1095685405050004,-0.5342735475112521,-0.334843943910624,168
124,NPC,-0.3694812396118422,-0.3576568278243619,-0.5497759610750386,-0.3961197798682489,-0.6192343741968459,3.58378918627044,698
124,OPC,-0.24035514041489248,-0.14746667464184607,-0.20625244301908158,0.993121040428386,2.4253367330981237,1.376559963132821,34
125,AC,0.20208074730989609,1.0175854619677631,0.6956285635322936,4.949287576543692,0.6035043540931758,0.4925510003934102,181
125,MES,1.3399681154886882,0.32785231045924634,1.5939954710006712,0.41902372932434084,-0.46278310934702555,-0.3104712703492907,1
125,NPC,-0.18645871467337904,-0.15265127551280702,-0.7483229867284418,0.22013634259288847,1.3028057103163284,3.393939084003248,382
125,OPC,-0.12228272039738913,-0.08516406027921578,-0.70311049712353,0.7920904087533757,3.4294919807266218,2.4756146381258155,196
126,AC,-0.16820092837015788,-0.10260936008986606,0.32854506121741406,1.2443301010131835,-0.16090841929117838,0.15345112571009878,3
126,MES,0.09945043516747745,0.14990648178050642,1.171068746469639,-0.002135566923353396,-0.13321307120499787,0.04638029045528835,18
126,NPC,-0.19645920430541672,-0.038556279633960376,0.20050040933820937,-0.33118650445483977,-0.21251969564528694,2.075303798049846,21
126,OPC,-0.18454376114739313,-0.06737890551167149,0.25227535989549427,0.5451420167287191,2.3727152069409687,1.1101677371837475,3
143,AC,0.5968804646930974,-0.022880852339975128,1.3069848544847582,2.1505353620811816,-0.06956800283083032,0.28659101133331605,992
143,MES,0.527068992959789,-0.27246344269023004,1.8158421423327484,0.714444030030609,-0.5065300753044452,0.017282838431414843,782
143,NPC,0.05627395941979356,-0.29562819173716437,0.5096373003659149,0.6350538688078522,0.17895460720794895,1.8994611344134642,64
143,OPC,-0.17096357603867843,-0.25557110365146374,0.6756702621777853,0.8149374728202818,1.2512698694070181,0.9837906451357735,4
