mean_null,mean_intact,delta,p,n_null,n_intact,broad_id,drug,q
-3.63461086043817,-2.1951528055548386,-1.4394580548833313,0.006939767588865173,42,35,BRD-K75958547-238-04-9,pitavastatin,0.8778805999914444
-5.712381094540349,-4.306194778446776,-1.4061863160935726,0.039674023589435975,42,35,BRD-K00004604-001-01-9,PRLX-93936,0.9998823550455124
-1.1632289276077554,-0.4756286470293813,-0.6876002805783741,0.0015796529903867942,42,36,BRD-K83030136-001-02-9,AT-406,0.799304413135718
-4.7369271703042255,-4.057321102336598,-0.6796060679676277,0.12350024321697889,42,36,BRD-K00003222-001-01-9,tradipitant,0.9998823550455124
-6.487625765077286,-5.842860541209477,-0.6447652238678092,0.14483928917772554,42,35,BRD-K04853698-376-01-4,LDN193189,0.9998823550455124
-4.556501780259991,-3.996322296418492,-0.5601794838414986,0.07531001485327361,42,35,BRD-K32143970-001-02-9,AP-18,0.9998823550455124
-1.1881843882944356,-0.6451425433985352,-0.5430418448959005,0.041906226297790276,42,36,BRD-K00003508-001-01-9,ASTX660,0.9998823550455124
-5.411786925450485,-4.910323512967441,-0.5014634124830444,0.18752799638748857,42,36,BRD-K00003156-066-01-9,eribulin,0.9998823550455124
-1.3003860760193313,-0.8065543644196651,-0.4938317115996662,0.006898026503767576,41,32,BRD-K00076647-001-02-9,MK-0429,0.8778805999914444
-1.9571874229789001,-1.5261318743542889,-0.43105554862461126,0.005372661771960051,42,36,BRD-K00004573-001-01-9,RG7834,0.8676230698033007
-3.7819083147106363,-3.3509207235102227,-0.4309875912004135,0.20692490417241188,41,32,BRD-K00091118-001-01-9,Tefinostat,0.9998823550455124
-7.767581810880474,-7.342223389466194,-0.4253584214142796,0.23854218984817532,42,35,BRD-K00003354-001-01-9,cinobufotalin,0.9998823550455124
-0.6673230190957242,-0.24854412156094205,-0.41877889753478215,0.005715566994751652,41,32,BRD-K00091101-001-01-9,ODM-203,0.8676230698033007
-0.3515792962769624,0.060103838741657444,-0.4116831350186198,0.0034542815233359458,42,36,BRD-K96298462-001-08-9,Imazodan,0.8676230698033007
-2.028665693578305,-1.6381741932920229,-0.3904915002862823,0.10506627768716614,42,35,BRD-K88767641-001-01-7,AZD5582,0.9998823550455124
-1.7128962943056432,-1.3562727427078012,-0.356623551597842,0.07677342638584343,42,35,BRD-K47983010-001-15-3,BX-795,0.9998823550455124
-0.9970461290493233,-0.6419105489341019,-0.3551355801152214,0.06046357104411546,41,32,BRD-K00073067-001-02-9,Artelinic acid,0.9998823550455124
-0.15389352138441428,0.20075433159838374,-0.354647852982798,0.023307790068526086,42,35,BRD-K94848716-001-12-9,carbarsone,0.9998823550455124
0.03142412361533365,0.3721903109255224,-0.34076618731018876,0.15194284579514422,42,35,BRD-A75514485-001-02-9,CIM-0216,0.9998823550455124
-1.166201821777528,-0.8277635740858057,-0.33843824769172237,0.023877276426503554,42,35,BRD-K88554883-001-03-2,ON123300,0.9998823550455124
-0.761752479795676,-0.4300587076053591,-0.33169377219031687,0.1166659640624314,42,35,BRD-K90756851-001-01-1,K-Ras(G12C)-inhibitor-12,0.9998823550455124
-8.812552733115618,-8.491288626284234,-0.32126410683138396,0.525972721711442,42,36,BRD-K00003376-001-01-9,TAK-243,0.9998823550455124
-0.14990869082916755,0.1639342850936808,-0.3138429759228484,0.0012512963034940388,42,35,BRD-K00003491-001-01-9,morphothiadin,0.799304413135718
-0.3173206635167111,-0.011788773894106529,-0.3055318896226046,0.005671061990150764,42,35,BRD-K00003261-001-01-9,leniolisib,0.8676230698033007
0.05853657838409319,0.3631379282540878,-0.3046013498699946,0.030242330364362226,42,35,BRD-M00184283-001-01-1,acrylate,0.9998823550455124
-0.1836203648388714,0.11900959291533719,-0.3026299577542086,0.01111390025229103,42,35,BRD-K00003259-050-01-9,edonerpic-maleate,0.9998823550455124
-0.0783742671446745,0.22400327413302057,-0.30237754127769506,0.012367011678535992,42,35,BRD-A19232309-001-08-6,propylene-glycol,0.9998823550455124
-1.7893254487488186,-1.4933301743930572,-0.29599527435576145,0.1297451909442287,42,36,BRD-K00003187-236-01-9,guadecitabine,0.9998823550455124
-0.07257883734607512,0.2205851107506045,-0.2931639480966796,0.03240594999340213,42,35,BRD-K00003198-001-01-9,revefenacin,0.9998823550455124
-0.29542623075017566,-0.004800817528720775,-0.29062541322145485,0.08284386832650026,42,35,BRD-A55946879-001-04-9,BW-B70C,0.9998823550455124
