gene,gene_full,mean_null,mean_intact,delta,n_null,n_intact,p,q
TNRC18,TNRC18 (84629),-0.1071,0.0158,-0.1229,55,79,9.865012829065917e-05,0.0259914073302272
UBALD1,UBALD1 (124402),-0.1227,-0.001,-0.1218,55,79,0.00011378505585322087,0.028313514731476464
RBM27,RBM27 (54439),-0.2567,-0.1354,-0.1213,55,79,6.867038761366789e-05,0.020168830565352035
CCT7,CCT7 (10574),-1.332,-1.2119,-0.1201,55,79,0.00028390310979251233,0.0470963714355801
RAPGEF6,RAPGEF6 (51735),-0.1893,-0.0754,-0.1138,55,79,1.067912687507181e-06,0.001739338519034423
ALG9,ALG9 (79796),-0.1587,-0.0462,-0.1125,55,79,2.0849427453106036e-05,0.012049623943543475
DPF2,DPF2 (5977),-0.3849,-0.275,-0.11,55,79,0.0002791875048723767,0.04674694707750935
CLCC1,CLCC1 (23155),-0.4773,-0.37,-0.1073,55,79,0.00029355764342961564,0.04738179044761256
DPM3,DPM3 (54344),-0.3593,-0.2526,-0.1067,55,79,6.381150853615022e-05,0.020056964683046793
DPM1,DPM1 (8813),-0.178,-0.0716,-0.1063,55,79,0.0002791875048723767,0.04674694707750935
HJV,HJV (148738),-0.4527,-0.3484,-0.1043,55,79,3.856894765971988e-05,0.016376416415163506
JUNB,JUNB (3726),-0.2497,-0.1463,-0.1035,55,79,0.0001645285015339521,0.03467873686449748
POTEC,POTEC (388468),0.1406,0.2432,-0.1026,55,79,2.0234312255004805e-06,0.002524146317261011
TMEM94,TMEM94 (9772),-0.0873,0.0149,-0.1022,55,79,3.3133338430470655e-05,0.015922045447852216
PNPLA6,PNPLA6 (10908),-0.1686,-0.0667,-0.1019,55,79,0.00012214536951694275,0.02906490257432577
AUP1,AUP1 (550),-0.265,-0.1642,-0.1008,55,79,1.19733804815359e-05,0.00841786517740461
USP19,USP19 (10869),-0.253,-0.1552,-0.0978,55,79,0.000269974363763181,0.04674694707750935
HOXB9,HOXB9 (3219),-0.3157,-0.2187,-0.097,55,79,5.607904565105105e-05,0.019700238860475113
KREMEN2,KREMEN2 (79412),-0.2048,-0.1084,-0.0964,55,79,0.00019552566073416562,0.038922641530147906
IL36B,IL36B (27177),-0.2111,-0.1151,-0.096,55,79,2.5816873514215694e-05,0.01401621532971783
FGFR1OP2,FGFR1OP2 (26127),-0.2722,-0.1769,-0.0954,55,79,0.0002791875048723767,0.04674694707750935
PAFAH1B3,PAFAH1B3 (5050),-0.026,0.0692,-0.0952,55,79,0.00021299551182866254,0.040168711472866506
PUS3,PUS3 (83480),-0.2034,-0.1087,-0.0947,55,79,0.0003035171065616623,0.047700109483848604
CERT1,CERT1 (10087),-0.1002,-0.0071,-0.0931,55,79,0.00021299551182866254,0.040168711472866506
GCFC2,GCFC2 (6936),-0.1087,-0.0157,-0.093,55,79,0.00029355764342961564,0.04738179044761256
ZNRD2,ZNRD2 (10534),-0.385,-0.2924,-0.0926,55,79,0.00010980922980763731,0.02770904452441732
PIK3R3,PIK3R3 (8503),-0.0125,0.0764,-0.0889,55,79,3.3770804142575584e-05,0.015922045447852216
EXTL2,EXTL2 (2135),-0.3058,-0.218,-0.0878,55,79,0.00023991186607355807,0.04341677770276633
PDE7A,PDE7A (5150),-0.0936,-0.0068,-0.0868,55,79,2.0679063446041177e-06,0.002524146317261011
RNF111,RNF111 (54778),0.0348,0.1216,-0.0868,55,79,0.00013577265960337703,0.03079117682853295
TRAM2,TRAM2 (9697),-0.1402,-0.0547,-0.0855,55,79,0.00010224570313037584,0.02654831909106976
IL1RL2,IL1RL2 (8808),-0.156,-0.0728,-0.0832,55,79,0.00015081515521986013,0.03335807803603721
PLEKHB2,PLEKHB2 (55041),-0.0346,0.0453,-0.0799,55,79,5.403765393515025e-05,0.019700238860475113
TCF7L1,TCF7L1 (83439),-0.2544,-0.1772,-0.0772,55,79,0.0001645285015339521,0.03467873686449748
RGS10,RGS10 (6001),0.0224,0.0995,-0.0771,55,79,0.00011582326244246769,0.028425884519441797
OR2L2,OR2L2 (26246),-0.1012,-0.0276,-0.0737,49,64,3.7484178703652125e-05,0.016376416415163506
QSER1,QSER1 (79832),0.2007,0.2736,-0.073,55,79,6.26484437285722e-05,0.02004302710430535
AFM,AFM (173),0.0497,0.1225,-0.0728,55,79,0.0001265384237998108,0.02906490257432577
FBXL20,FBXL20 (84961),-0.1357,-0.0643,-0.0714,55,79,5.607904565105105e-05,0.019700238860475113
PLAUR,PLAUR (5329),-0.1087,-0.038,-0.0707,55,79,6.867038761366789e-05,0.020168830565352035
TREX1,TREX1 (11277),-0.1373,-0.0683,-0.069,55,79,5.927798785735034e-05,0.020033406462703334
IL1A,IL1A (3552),0.0589,0.1272,-0.0683,55,79,0.0001989087431303392,0.039160978482672054
ENPP3,ENPP3 (5169),-0.1051,-0.0372,-0.0679,55,79,5.278835506105245e-06,0.004828445016800448
PTP4A3,PTP4A3 (11156),-0.0721,-0.0059,-0.0662,55,79,0.0001856962336812748,0.03780606502992863
TDRKH,TDRKH (11022),-0.1816,-0.1155,-0.0661,55,79,3.069556868751168e-05,0.015712623103013124
B3GALT2,B3GALT2 (8707),-0.0189,0.0464,-0.0653,55,79,0.0002984987146312022,0.047700109483848604
NFKB1,NFKB1 (4790),-0.008,0.0552,-0.0632,55,79,0.00027454493541983837,0.04674694707750935
VAX2,VAX2 (25806),-0.0953,-0.0353,-0.06,55,79,5.110659230215187e-05,0.019700238860475113
IFI16,IFI16 (3428),0.0024,0.0613,-0.0589,55,79,0.00019219640624072875,0.038689784429313444
MUC1,MUC1 (4582),-0.2216,-0.1641,-0.0576,55,79,5.927798785735034e-05,0.020033406462703334
TECRL,TECRL (253017),0.0301,0.0863,-0.0562,55,79,0.0003035171065616623,0.047700109483848604
OR10R2,OR10R2 (343406),-0.0811,-0.025,-0.0561,49,64,0.0003118031069259575,0.0485762127276996
NEMP1,NEMP1 (23306),-0.0324,0.0209,-0.0534,55,79,0.0002886928011645391,0.04738179044761256
