patient,meanFAK,meanTAZ,meanMES,mesFrac
BT1160,-0.25363277045393123,-0.15636477179856184,-0.6483090294334243,0.0031746031746031746
BT749,0.10916348324742953,-0.14124130174870456,-0.49960398961469266,0.01276595744680851
BT771,0.2093779545595331,0.3923125406592853,0.9099460582210505,0.41409691629955947
BT786,-0.00919029659906216,-0.09495538751594201,0.019403764869396125,0.02512562814070352
MGH100,0.04039095329455321,0.03525669296964401,0.5048844069584646,0.25153374233128833
MGH101,0.21102525531579341,0.3781724590080031,1.7487015487121977,0.14388489208633093
MGH102,-0.14513880300640639,-0.21323192736567256,-0.6867098592911268,0.0
MGH104,0.22411283706631005,0.18562853478758617,1.3789943060369216,0.2033898305084746
MGH104negP2,0.2861566146167949,0.1861668632805746,1.447087713737891,0.2037037037037037
MGH104negP4,0.20005157101139948,0.14641563613072964,1.4499011153626933,0.2711864406779661
MGH104negP7,0.37868594777560144,0.1568549270227959,1.3422290849223368,0.265625
MGH105A,0.1776722054121657,0.5073072511694654,1.7902690402810257,0.46835443037974683
MGH105B,0.2730841197280232,0.6130215306065675,3.287788858013446,0.9636363636363636
MGH105C,0.1395539881735039,0.5088326165449449,1.553048598858014,0.2826086956521739
MGH105D,0.015715124187732306,0.12886327078611534,0.5910269941388349,0.023809523809523808
MGH106,0.13376664474261582,0.12416428248518734,1.593582051466666,0.3888888888888889
MGH110,-0.045592828081286924,-0.19857856530468868,-0.06422237693231309,0.02857142857142857
MGH113,-0.031168267520735177,-0.36285411181833926,0.4613271547500452,0.11219512195121951
MGH115,0.16570196513164168,0.5009926622448194,1.1139003119638302,0.3951612903225806
MGH121,0.06933206656351584,-0.14082650954865403,0.4682267543202986,0.12682926829268293
MGH122,-0.08373808952263713,-0.03786338440821771,-0.1909058769354323,0.09322033898305085
MGH124,-0.27090557940991455,-0.20588559093350656,-0.4551780261164782,0.04513888888888889
MGH125,-0.2812298914562264,-0.11181909579307535,-0.6389234606268015,0.0
MGH128CD45neg,-0.19661175831715128,-0.4121784969320351,0.5418606381071043,0.2112676056338028
MGH129CD45neg,0.015892313612185682,0.003300627980377447,0.7500922987264647,0.08588957055214724
MGH136CD45neg,-0.18950814766373442,-0.18861269967797792,-0.5475445971695374,0.0051813471502590676
MGH143CD45neg,0.18000111231300372,-0.07955705478693308,0.9401438584625695,0.08144796380090498
MGH151CD45neg,-0.08745252358914886,-0.05529135284951779,-0.1568613443317057,0.008849557522123894
MGH152CD45neg,-0.16380340819238157,0.05067225711075472,0.36215143027318375,0.07947019867549669
MGH66,0.13908297493404478,0.3637967785899497,0.902269923410394,0.1092436974789916
MGH85,-0.09951892155813186,-0.23608118618868026,-0.5804618741867379,0.004166666666666667
